"Player","Team","G","MP","FG_pct","FTA","TRB","AST","stocks","PTS","Value_Billions","awards_1","awards_2plus","avg_salary_millions","Age_22_26","Age_27_31","Age_32_34","Age_35_plus","Pos_PF","Pos_PG","Pos_SF","Pos_SG","Age","Awards"
"Jaylin Williams","OKC",47,16.7,0.439,0.6,5.6,2.6,1.1,5.9,4.35,0,0,8,1,0,0,0,1,0,0,0,"Age_1","0 awards"
"Moses Brown","2TM",13,9.2,0.694,0.8,3.4,0.2,0.8,5.8,NA,0,0,NA,1,0,0,0,0,0,0,0,"Age_1","0 awards"
"Adem Bona","PHI",58,15.6,0.703,1.7,4.2,0.5,1.6,5.8,5.45,0,0,2.2462,0,0,0,0,0,0,0,0,NA,"0 awards"
"Quenton Jackson","IND",28,13.6,0.475,1.4,1.6,1.9,1,5.8,4.2,0,0,NA,1,0,0,0,0,1,0,0,"Age_1","0 awards"
"Robert Williams","POR",20,17.6,0.641,0.9,5.9,1.1,2.4,5.8,4.25,0,0,13.2857,0,1,0,0,0,0,0,0,"Age_2","0 awards"
"Moussa Diabaté","CHO",71,17.5,0.596,1.6,6.2,0.8,1.2,5.7,3.8,0,0,2.3661,1,0,0,0,0,0,0,0,"Age_1","0 awards"
"Dariq Whitehead","BRK",20,12.3,0.406,0.3,1.5,0.6,0.4,5.7,5.6,0,0,3.2626,0,0,0,0,0,0,1,0,NA,"0 awards"
"Landry Shamet","NYK",50,15.2,0.461,0.4,1.2,0.5,0.5,5.7,9.75,0,0,2.2963,0,1,0,0,0,0,0,1,"Age_2","0 awards"
"Jordan Goodwin","LAL",29,18.7,0.438,0.4,3.9,1.4,1.4,5.6,10,0,0,2.3496,1,0,0,0,0,1,0,0,"Age_1","0 awards"
"Shake Milton","2TM",57,14.7,0.453,1,1.8,1.8,0.5,5.5,NA,0,0,3.1437,0,1,0,0,0,0,0,1,"Age_2","0 awards"
"Aaron Holiday","HOU",62,12.8,0.437,0.7,1.3,1.3,0.5,5.5,5.9,0,0,2.2963,0,1,0,0,0,1,0,0,"Age_2","0 awards"
"Jeff Green","HOU",32,12.4,0.504,0.8,1.8,0.6,0.3,5.4,5.9,0,0,2.2963,0,0,0,1,1,0,0,0,"Age_4","0 awards"
"Jonathan Isaac","ORL",71,15.4,0.414,1.5,4.4,0.6,2,5.4,3.9,0,0,14.75,0,1,0,0,1,0,0,0,"Age_2","0 awards"
"Dean Wade","CLE",59,21.2,0.413,0.5,4.2,1.3,1,5.4,4.8,0,0,6.6235,0,1,0,0,1,0,0,0,"Age_2","0 awards"
"Keaton Wallace","ATL",31,16.2,0.401,0.4,1.6,2.6,1.2,5.4,5,0,0,NA,1,0,0,0,0,1,0,0,"Age_1","0 awards"
"Kobe Bufkin","ATL",10,12.4,0.383,1.8,2.1,1.7,0.5,5.3,5,0,0,4.5037,0,0,0,0,0,0,0,1,NA,"0 awards"
"Jamal Cain","NOP",37,13.6,0.43,1.4,2.3,0.6,0.8,5.3,3.55,0,0,NA,1,0,0,0,0,0,1,0,"Age_1","0 awards"
"Pat Connaughton","MIL",41,14.7,0.469,0.8,2.7,1.7,0.5,5.3,4.3,0,0,9.4239,0,0,1,0,0,0,0,1,"Age_3","0 awards"
"Kevin Love","MIA",23,10.9,0.357,1,4.1,1,0.9,5.3,5.7,0,0,4.15,0,0,0,1,1,0,0,0,"Age_4","0 awards"
"Ben Sheppard","IND",63,19.5,0.418,0.4,2.8,1.3,0.8,5.3,4.2,0,0,3.9112,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Monte Morris","PHO",45,12.7,0.426,0.9,1.5,1.6,0.5,5.2,5.43,0,0,NA,0,1,0,0,0,1,0,0,"Age_2","0 awards"
"Jabari Walker","POR",60,12.5,0.515,1.2,3.5,0.6,0.7,5.2,4.25,0,0,NA,1,0,0,0,1,0,0,0,"Age_1","0 awards"
"Javonte Green","2TM",68,18.5,0.429,1.1,3.2,0.8,1.5,5.1,NA,0,0,2.2963,0,1,0,0,0,0,0,1,"Age_2","0 awards"
"Alex Reese","2TM",15,14.4,0.481,0.8,3.1,0.3,1.4,5.1,NA,0,0,NA,1,0,0,0,1,0,0,0,"Age_1","0 awards"
"Bismack Biyombo","SAS",28,18.9,0.588,0.9,5.6,1.1,1.4,5.1,4.4,0,0,2.2963,0,0,1,0,0,0,0,0,"Age_3","0 awards"
"Mitchell Robinson","NYK",17,17.1,0.661,1.1,5.9,0.8,2,5.1,9.75,0,0,12.9545,1,0,0,0,0,0,0,0,"Age_1","0 awards"
"Kai Jones","2TM",40,11.7,0.798,0.8,3.1,0.6,1,5,NA,0,0,NA,1,0,0,0,0,0,0,0,"Age_1","0 awards"
"Ben Simmons","2TM",51,22,0.52,0.6,4.7,5.6,1.2,5,NA,0,0,NA,0,1,0,0,0,1,0,0,"Age_2","0 awards"
"Malaki Branham","SAS",47,9.1,0.458,0.7,1.1,0.8,0.2,5,4.4,0,0,4.962,0,0,0,0,0,0,0,1,NA,"0 awards"
"Neemias Queta","BOS",62,13.9,0.65,1,3.8,0.7,1,5,6.7,0,0,2.5088,1,0,0,0,0,0,0,0,"Age_1","0 awards"
"Alondes Williams","DET",1,4,1,0,0,1,0,5,3.65,0,0,NA,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Jaylen Martin","2TM",16,14.9,0.419,0.6,2.8,1.1,0.6,4.9,NA,0,0,NA,0,0,0,0,0,0,1,0,NA,"0 awards"
"Lindy Waters III","2TM",52,15,0.369,0.2,2.1,1,0.7,4.9,NA,0,0,2.2963,0,1,0,0,0,0,0,1,"Age_2","0 awards"
"Trevelin Queen","ORL",31,13.9,0.381,0.7,1.7,1.2,1.3,4.9,3.9,0,0,NA,0,1,0,0,0,0,0,1,"Age_2","0 awards"
"Jock Landale","HOU",42,11.9,0.533,1,3.3,0.9,0.5,4.8,5.9,0,0,10.2963,0,1,0,0,0,0,0,0,"Age_2","0 awards"
"Colin Castleton","3TM",26,16.6,0.469,1.5,4.7,1.1,0.7,4.7,NA,0,0,NA,1,0,0,0,0,0,0,0,"Age_1","0 awards"
"Taylor Hendricks","UTA",3,25,0.222,1.3,5,0.7,3,4.7,4.1,0,0,6.9665,0,0,0,0,1,0,0,0,NA,"0 awards"
"David Roddy","3TM",33,12.4,0.456,0.8,2.5,1.1,0.7,4.6,NA,0,0,NA,1,0,0,0,1,0,0,0,"Age_1","0 awards"
"Drew Eubanks","2TM",61,12.2,0.593,1.2,3.7,0.9,0.8,4.6,NA,0,0,2.2963,0,1,0,0,0,0,0,0,"Age_2","0 awards"
"Pelle Larsson","MIA",55,14.2,0.438,1.1,1.7,1.2,0.7,4.6,5.7,0,0,2.1258,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Julian Phillips","CHI",79,14.2,0.446,1,2.1,0.5,0.8,4.6,6,0,0,2.3139,0,0,0,0,0,0,1,0,NA,"0 awards"
"Cody Williams","UTA",50,21.2,0.323,0.8,2.3,1.2,0.8,4.6,4.1,0,0,6.476,0,0,0,0,0,0,0,1,NA,"0 awards"
"Rob Dillingham","MIN",49,10.5,0.441,0.3,1,2,0.4,4.5,3.6,0,0,7.4096,0,0,0,0,0,1,0,0,NA,"0 awards"
"Jett Howard","ORL",60,11.7,0.374,0.4,1.2,0.7,0.4,4.5,3.9,0,0,6.4338,0,0,0,0,0,0,1,0,NA,"0 awards"
"Kevon Looney","GSW",76,15,0.514,1.3,6.1,1.6,1.1,4.5,11,0,0,8,0,1,0,0,0,0,0,0,"Age_2","0 awards"
"Mason Plumlee","PHO",74,17.6,0.619,1.7,6.1,1.8,1,4.5,5.43,0,0,2.2963,0,0,1,0,0,0,0,0,"Age_3","0 awards"
"Dalen Terry","CHI",73,13.5,0.448,0.9,1.7,1.3,0.8,4.5,6,0,0,5.3991,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Marvin Bagley III","2TM",31,8.5,0.519,1.1,2.7,0.4,0.6,4.4,NA,0,0,2.2963,1,0,0,0,1,0,0,0,"Age_1","0 awards"
