Player,Age,Team,G,GS,MP,FGA,FG_pct,FTA,TRB,AST,stocks,PTS,Value_Billions,Awards,n_awards_won,awards_0,awards_1,awards_2plus,avg_salary_millions,Age_22_26,Age_27_31,Age_32_34,Age_35_plus,Pos_PF,Pos_PG,Pos_SF,Pos_SG
Pelle Larsson,23.0,MIA,55.0,8.0,14.2,3.7,0.438,1.1,1.7,1.2,0.7,4.6,5.7,,0,1,0,0,2.1258,1,0,0,0,0,0,0,1
Julian Phillips,21.0,CHI,79.0,5.0,14.2,3.6,0.446,1.0,2.1,0.5,0.8,4.6,6.0,,0,1,0,0,2.3139,0,0,0,0,0,0,1,0
Cody Williams,20.0,UTA,50.0,21.0,21.2,5.1,0.323,0.8,2.3,1.2,0.8,4.6,4.1,,0,1,0,0,6.476,0,0,0,0,0,0,0,1
Rob Dillingham,20.0,MIN,49.0,1.0,10.5,4.3,0.441,0.3,1.0,2.0,0.4,4.5,3.6,,0,1,0,0,7.4096,0,0,0,0,0,1,0,0
Jett Howard,21.0,ORL,60.0,0.0,11.7,4.4,0.374,0.4,1.2,0.7,0.4,4.5,3.9,,0,1,0,0,6.4338,0,0,0,0,0,0,1,0
Kevon Looney,28.0,GSW,76.0,6.0,15.0,3.7,0.514,1.3,6.1,1.6,1.1,4.5,11.0,,0,1,0,0,8.0,0,1,0,0,0,0,0,0
Mason Plumlee,34.0,PHO,74.0,21.0,17.6,2.7,0.619,1.7,6.1,1.8,1.0,4.5,5.43,,0,1,0,0,2.2963,0,0,1,0,0,0,0,0
Dalen Terry,22.0,CHI,73.0,5.0,13.5,3.7,0.448,0.9,1.7,1.3,0.8,4.5,6.0,,0,1,0,0,5.3991,1,0,0,0,0,0,0,1
Marvin Bagley III,25.0,2TM,31.0,2.0,8.5,3.4,0.519,1.1,2.7,0.4,0.6,4.4,,,0,1,0,0,2.2963,1,0,0,0,1,0,0,0
Charles Bassey,24.0,SAS,36.0,1.0,10.4,3.3,0.581,0.9,4.2,0.5,1.2,4.4,4.4,,0,1,0,0,,1,0,0,0,0,0,0,0
Tony Bradley,27.0,IND,14.0,0.0,8.1,3.2,0.644,0.4,3.0,0.4,0.7,4.4,4.2,,0,1,0,0,2.9409,0,1,0,0,0,0,0,0
Reggie Jackson,34.0,PHI,31.0,1.0,12.4,4.3,0.391,0.3,1.4,1.5,0.6,4.4,5.45,,0,1,0,0,,0,0,1,0,0,1,0,0
Reed Sheppard,20.0,HOU,52.0,3.0,12.6,4.6,0.351,0.3,1.5,1.4,1.0,4.4,5.9,,0,1,0,0,11.918,0,0,0,0,0,1,0,0
Lamar Stevens,27.0,MEM,17.0,1.0,9.1,3.7,0.46,0.6,2.2,0.5,0.5,4.4,3.5,,0,1,0,0,,0,1,0,0,1,0,0,0
Mo Bamba,26.0,2TM,32.0,2.0,12.9,3.5,0.464,0.8,4.5,0.6,1.3,4.3,,,0,1,0,0,,1,0,0,0,0,0,0,0
Jevon Carter,29.0,CHI,36.0,1.0,8.9,4.1,0.377,0.3,1.1,1.1,0.5,4.3,6.0,,0,1,0,0,6.8095,0,1,0,0,0,1,0,0
Micah Potter,26.0,UTA,38.0,10.0,18.6,3.6,0.422,0.5,4.3,0.8,0.8,4.3,4.1,,0,1,0,0,,1,0,0,0,0,0,0,0
Terrence Shannon Jr.,24.0,MIN,32.0,1.0,10.6,3.6,0.482,0.7,1.5,1.0,0.4,4.3,3.6,,0,1,0,0,3.51,1,0,0,0,0,0,0,1
Daniel Theis,32.0,NOP,38.0,9.0,16.3,3.4,0.473,1.0,4.3,1.6,1.0,4.3,3.55,,0,1,0,0,,0,0,1,0,0,0,0,0
Torrey Craig,34.0,2TM,26.0,4.0,12.1,3.5,0.422,0.5,2.8,0.7,0.8,4.2,,,0,1,0,0,,0,0,1,0,0,0,1,0
Wendell Moore Jr.,23.0,2TM,36.0,1.0,13.9,3.5,0.468,0.6,2.6,1.2,0.7,4.2,,,0,1,0,0,,1,0,0,0,0,0,0,1
Dominick Barlow,21.0,ATL,35.0,4.0,10.7,3.2,0.531,0.9,2.4,0.5,0.8,4.2,5.0,,0,1,0,0,,0,0,0,0,1,0,0,0
Kessler Edwards,24.0,DAL,40.0,18.0,15.2,3.4,0.496,0.3,2.9,1.1,1.0,4.2,5.1,,0,1,0,0,,1,0,0,0,0,0,1,0
Oso Ighodaro,22.0,PHO,61.0,6.0,17.1,3.1,0.604,0.8,3.6,1.2,1.0,4.2,5.43,,0,1,0,0,2.2462,1,0,0,0,1,0,0,0
Kris Murray,24.0,POR,69.0,6.0,15.1,4.0,0.419,0.8,2.6,1.0,0.7,4.2,4.25,,0,1,0,0,4.2235,1,0,0,0,0,0,1,0
Duop Reath,28.0,POR,46.0,0.0,10.2,3.6,0.422,0.5,2.0,0.6,0.6,4.2,4.25,,0,1,0,0,2.2217,0,1,0,0,0,0,0,0
Cam Spencer,24.0,MEM,25.0,1.0,10.1,3.3,0.415,0.8,1.2,1.4,0.4,4.2,3.5,,0,1,0,0,2.5991,1,0,0,0,0,0,0,1
Maxwell Lewis,22.0,2TM,28.0,1.0,11.7,3.9,0.417,0.4,2.0,0.7,0.6,4.1,,,0,1,0,0,,1,0,0,0,0,0,1,0
Jaylen Clark,23.0,MIN,40.0,4.0,13.1,3.0,0.467,0.9,1.3,0.7,1.0,4.1,3.6,,0,1,0,0,2.1919,1,0,0,0,0,0,0,1
Caleb Houstan,22.0,ORL,58.0,6.0,13.6,3.3,0.421,0.3,1.3,0.6,0.5,4.1,3.9,,0,1,0,0,,1,0,0,0,0,0,1,0
Jordan Miller,25.0,LAC,37.0,0.0,11.4,3.6,0.433,0.9,1.6,0.9,0.6,4.1,7.5,,0,1,0,0,,1,0,0,0,0,0,1,0
Jalen Pickett,25.0,DEN,49.0,4.0,13.6,3.7,0.428,0.2,1.4,2.2,0.5,4.1,4.6,,0,1,0,0,2.3139,1,0,0,0,0,0,0,1
Paul Reed,25.0,DET,45.0,0.0,9.7,3.2,0.507,0.9,2.7,1.0,1.5,4.1,3.65,,0,1,0,0,5.4693,1,0,0,0,0,0,0,0
